Date,Store,Location,Product,Category,Units Sold,Unit Price,Total Sales
2024-01-02,Central Perk,New York,Latte,Beverage,75,4.5,337.5
2024-01-02,Central Perk,New York,Croissant,Bakery,94,3.0,282.0
2024-01-02,Brew Haven,Los Angeles,Muffin,Bakery,76,2.5,190.0
2024-01-02,Brew Haven,Los Angeles,Espresso,Beverage,10,3.0,30.0
2024-01-02,Brew Haven,Los Angeles,Muffin,Bakery,93,2.5,232.5
2024-01-02,Brew Haven,Los Angeles,Muffin,Bakery,17,2.5,42.5
2024-01-02,Brew Haven,Los Angeles,Muffin,Bakery,20,2.5,50.0
2024-01-02,Daily Grind,Chicago,Cold Brew,Beverage,96,4.0,384.0
2024-01-02,Daily Grind,Chicago,Croissant,Bakery,31,3.0,93.0
2024-01-02,Daily Grind,Chicago,Croissant,Bakery,54,3.0,162.0
2024-01-02,Daily Grind,Chicago,Espresso,Beverage,68,3.0,204.0
2024-01-02,Daily Grind,Chicago,Bagel,Bakery,60,2.0,120.0
2024-01-02,Daily Grind,Chicago,Bagel,Bakery,77,2.0,154.0
2024-01-02,Mocha Magic,San Francisco,Bagel,Bakery,39,2.0,78.0
2024-01-02,Mocha Magic,San Francisco,Muffin,Bakery,61,2.5,152.5
2024-01-02,Mocha Magic,San Francisco,Bagel,Bakery,51,2.0,102.0
2024-01-02,Mocha Magic,San Francisco,Bagel,Bakery,91,2.0,182.0
2024-01-02,Mocha Magic,San Francisco,Muffin,Bakery,71,2.5,177.5
2024-01-02,Mocha Magic,San Francisco,Muffin,Bakery,39,2.5,97.5
2024-01-02,Mocha Magic,San Francisco,Latte,Beverage,56,4.5,252.0
2024-01-02,Mocha Magic,San Francisco,Muffin,Bakery,35,2.5,87.5
2024-01-02,Mocha Magic,San Francisco,Latte,Beverage,68,4.5,306.0
2024-01-03,Central Perk,New York,Espresso,Beverage,63,3.0,189.0
2024-01-03,Central Perk,New York,Latte,Beverage,16,4.5,72.0
2024-01-03,Central Perk,New York,Espresso,Beverage,15,3.0,45.0
2024-01-03,Central Perk,New York,Muffin,Bakery,44,2.5,110.0
2024-01-03,Central Perk,New York,Croissant,Bakery,43,3.0,129.0
2024-01-03,Central Perk,New York,Bagel,Bakery,10,2.0,20.0
2024-01-03,Central Perk,New York,Cold Brew,Beverage,59,4.0,236.0
2024-01-03,Central Perk,New York,Espresso,Beverage,70,3.0,210.0
2024-01-03,Central Perk,New York,Croissant,Bakery,58,3.0,174.0
2024-01-03,Central Perk,New York,Latte,Beverage,59,4.5,265.5
2024-01-03,Brew Haven,Los Angeles,Muffin,Bakery,11,2.5,27.5
2024-01-03,Brew Haven,Los Angeles,Latte,Beverage,95,4.5,427.5
2024-01-03,Brew Haven,Los Angeles,Cold Brew,Beverage,63,4.0,252.0
2024-01-03,Brew Haven,Los Angeles,Bagel,Bakery,23,2.0,46.0
2024-01-03,Brew Haven,Los Angeles,Espresso,Beverage,41,3.0,123.0
2024-01-03,Daily Grind,Chicago,Croissant,Bakery,52,3.0,156.0
2024-01-03,Daily Grind,Chicago,Bagel,Bakery,85,2.0,170.0
2024-01-03,Daily Grind,Chicago,Croissant,Bakery,20,3.0,60.0
2024-01-03,Daily Grind,Chicago,Espresso,Beverage,85,3.0,255.0
2024-01-03,Daily Grind,Chicago,Bagel,Bakery,65,2.0,130.0
2024-01-03,Daily Grind,Chicago,Bagel,Bakery,62,2.0,124.0
2024-01-03,Daily Grind,Chicago,Muffin,Bakery,96,2.5,240.0
2024-01-03,Daily Grind,Chicago,Muffin,Bakery,57,2.5,142.5
2024-01-03,Daily Grind,Chicago,Muffin,Bakery,20,2.5,50.0
2024-01-03,Mocha Magic,San Francisco,Muffin,Bakery,100,2.5,250.0
2024-01-03,Mocha Magic,San Francisco,Bagel,Bakery,81,2.0,162.0
2024-01-03,Mocha Magic,San Francisco,Latte,Beverage,71,4.5,319.5
2024-01-03,Mocha Magic,San Francisco,Muffin,Bakery,95,2.5,237.5
2024-01-03,Mocha Magic,San Francisco,Latte,Beverage,57,4.5,256.5
2024-01-03,Mocha Magic,San Francisco,Cold Brew,Beverage,20,4.0,80.0
2024-01-03,Mocha Magic,San Francisco,Croissant,Bakery,53,3.0,159.0
2024-01-03,Mocha Magic,San Francisco,Cold Brew,Beverage,50,4.0,200.0
2024-01-03,Mocha Magic,San Francisco,Muffin,Bakery,74,2.5,185.0
2024-01-04,Central Perk,New York,Bagel,Bakery,51,2.0,102.0
2024-01-04,Central Perk,New York,Latte,Beverage,57,4.5,256.5
2024-01-04,Central Perk,New York,Bagel,Bakery,23,2.0,46.0
2024-01-04,Central Perk,New York,Muffin,Bakery,43,2.5,107.5
2024-01-04,Central Perk,New York,Espresso,Beverage,86,3.0,258.0
2024-01-04,Central Perk,New York,Cold Brew,Beverage,23,4.0,92.0
2024-01-04,Central Perk,New York,Cold Brew,Beverage,33,4.0,132.0
2024-01-04,Brew Haven,Los Angeles,Cold Brew,Beverage,79,4.0,316.0
2024-01-04,Brew Haven,Los Angeles,Muffin,Bakery,63,2.5,157.5
2024-01-04,Brew Haven,Los Angeles,Croissant,Bakery,60,3.0,180.0
2024-01-04,Brew Haven,Los Angeles,Muffin,Bakery,65,2.5,162.5
2024-01-04,Brew Haven,Los Angeles,Cold Brew,Beverage,42,4.0,168.0
2024-01-04,Brew Haven,Los Angeles,Latte,Beverage,25,4.5,112.5
2024-01-04,Brew Haven,Los Angeles,Croissant,Bakery,40,3.0,120.0
2024-01-04,Brew Haven,Los Angeles,Croissant,Bakery,70,3.0,210.0
2024-01-04,Daily Grind,Chicago,Bagel,Bakery,96,2.0,192.0
2024-01-04,Daily Grind,Chicago,Croissant,Bakery,27,3.0,81.0
2024-01-04,Daily Grind,Chicago,Bagel,Bakery,49,2.0,98.0
2024-01-04,Daily Grind,Chicago,Muffin,Bakery,32,2.5,80.0
2024-01-04,Daily Grind,Chicago,Cold Brew,Beverage,39,4.0,156.0
2024-01-04,Daily Grind,Chicago,Croissant,Bakery,32,3.0,96.0
2024-01-04,Mocha Magic,San Francisco,Croissant,Bakery,18,3.0,54.0
2024-01-04,Mocha Magic,San Francisco,Latte,Beverage,49,4.5,220.5
2024-01-04,Mocha Magic,San Francisco,Cold Brew,Beverage,12,4.0,48.0
2024-01-04,Mocha Magic,San Francisco,Bagel,Bakery,22,2.0,44.0
2024-01-04,Mocha Magic,San Francisco,Croissant,Bakery,26,3.0,78.0
2024-01-04,Mocha Magic,San Francisco,Muffin,Bakery,10,2.5,25.0
2024-01-04,Mocha Magic,San Francisco,Croissant,Bakery,70,3.0,210.0
2024-01-04,Mocha Magic,San Francisco,Bagel,Bakery,16,2.0,32.0
2024-01-05,Central Perk,New York,Muffin,Bakery,77,2.5,192.5
2024-01-05,Central Perk,New York,Espresso,Beverage,35,3.0,105.0
2024-01-05,Central Perk,New York,Espresso,Beverage,75,3.0,225.0
2024-01-05,Central Perk,New York,Cold Brew,Beverage,60,4.0,240.0
2024-01-05,Central Perk,New York,Latte,Beverage,69,4.5,310.5
2024-01-05,Central Perk,New York,Croissant,Bakery,99,3.0,297.0
2024-01-05,Brew Haven,Los Angeles,Muffin,Bakery,13,2.5,32.5
2024-01-05,Brew Haven,Los Angeles,Cold Brew,Beverage,91,4.0,364.0
2024-01-05,Brew Haven,Los Angeles,Cold Brew,Beverage,19,4.0,76.0
2024-01-05,Brew Haven,Los Angeles,Bagel,Bakery,44,2.0,88.0
2024-01-05,Brew Haven,Los Angeles,Bagel,Bakery,93,2.0,186.0
2024-01-05,Brew Haven,Los Angeles,Cold Brew,Beverage,52,4.0,208.0
2024-01-05,Brew Haven,Los Angeles,Croissant,Bakery,73,3.0,219.0
2024-01-05,Brew Haven,Los Angeles,Latte,Beverage,22,4.5,99.0
2024-01-05,Brew Haven,Los Angeles,Espresso,Beverage,27,3.0,81.0
2024-01-05,Daily Grind,Chicago,Espresso,Beverage,58,3.0,174.0
2024-01-05,Daily Grind,Chicago,Bagel,Bakery,60,2.0,120.0
2024-01-05,Daily Grind,Chicago,Espresso,Beverage,53,3.0,159.0
2024-01-05,Daily Grind,Chicago,Latte,Beverage,100,4.5,450.0
2024-01-05,Daily Grind,Chicago,Cold Brew,Beverage,97,4.0,388.0
2024-01-05,Mocha Magic,San Francisco,Latte,Beverage,82,4.5,369.0
2024-01-05,Mocha Magic,San Francisco,Muffin,Bakery,87,2.5,217.5
2024-01-05,Mocha Magic,San Francisco,Bagel,Bakery,12,2.0,24.0
2024-01-05,Mocha Magic,San Francisco,Cold Brew,Beverage,23,4.0,92.0
2024-01-05,Mocha Magic,San Francisco,Cold Brew,Beverage,95,4.0,380.0
2024-01-05,Mocha Magic,San Francisco,Croissant,Bakery,63,3.0,189.0
2024-01-05,Mocha Magic,San Francisco,Bagel,Bakery,61,2.0,122.0
2024-01-05,Mocha Magic,San Francisco,Latte,Beverage,11,4.5,49.5
2024-01-05,Mocha Magic,San Francisco,Latte,Beverage,24,4.5,108.0
2024-01-05,Mocha Magic,San Francisco,Bagel,Bakery,56,2.0,112.0
2024-01-06,Central Perk,New York,Cold Brew,Beverage,55,4.0,220.0
2024-01-06,Central Perk,New York,Croissant,Bakery,80,3.0,240.0
2024-01-06,Central Perk,New York,Muffin,Bakery,56,2.5,140.0
2024-01-06,Central Perk,New York,Muffin,Bakery,91,2.5,227.5
2024-01-06,Central Perk,New York,Muffin,Bakery,56,2.5,140.0
2024-01-06,Central Perk,New York,Cold Brew,Beverage,83,4.0,332.0
2024-01-06,Central Perk,New York,Muffin,Bakery,17,2.5,42.5
2024-01-06,Central Perk,New York,Espresso,Beverage,70,3.0,210.0
2024-01-06,Central Perk,New York,Latte,Beverage,38,4.5,171.0
2024-01-06,Central Perk,New York,Bagel,Bakery,56,2.0,112.0
2024-01-06,Brew Haven,Los Angeles,Croissant,Bakery,26,3.0,78.0
2024-01-06,Brew Haven,Los Angeles,Croissant,Bakery,90,3.0,270.0
2024-01-06,Brew Haven,Los Angeles,Croissant,Bakery,76,3.0,228.0
2024-01-06,Brew Haven,Los Angeles,Espresso,Beverage,75,3.0,225.0
2024-01-06,Brew Haven,Los Angeles,Bagel,Bakery,97,2.0,194.0
2024-01-06,Brew Haven,Los Angeles,Espresso,Beverage,81,3.0,243.0
2024-01-06,Brew Haven,Los Angeles,Muffin,Bakery,19,2.5,47.5
2024-01-06,Brew Haven,Los Angeles,Cold Brew,Beverage,93,4.0,372.0
2024-01-06,Brew Haven,Los Angeles,Latte,Beverage,57,4.5,256.5
2024-01-06,Brew Haven,Los Angeles,Muffin,Bakery,46,2.5,115.0
2024-01-06,Daily Grind,Chicago,Espresso,Beverage,23,3.0,69.0
2024-01-06,Daily Grind,Chicago,Muffin,Bakery,49,2.5,122.5
2024-01-06,Daily Grind,Chicago,Muffin,Bakery,17,2.5,42.5
2024-01-06,Daily Grind,Chicago,Croissant,Bakery,61,3.0,183.0
2024-01-06,Daily Grind,Chicago,Espresso,Beverage,65,3.0,195.0
2024-01-06,Daily Grind,Chicago,Latte,Beverage,93,4.5,418.5
2024-01-06,Daily Grind,Chicago,Latte,Beverage,83,4.5,373.5
2024-01-06,Daily Grind,Chicago,Bagel,Bakery,83,2.0,166.0
2024-01-06,Mocha Magic,San Francisco,Muffin,Bakery,39,2.5,97.5
2024-01-06,Mocha Magic,San Francisco,Espresso,Beverage,84,3.0,252.0
2024-01-06,Mocha Magic,San Francisco,Latte,Beverage,21,4.5,94.5
2024-01-06,Mocha Magic,San Francisco,Muffin,Bakery,36,2.5,90.0
2024-01-06,Mocha Magic,San Francisco,Latte,Beverage,94,4.5,423.0
2024-01-06,Mocha Magic,San Francisco,Croissant,Bakery,86,3.0,258.0
2024-01-06,Mocha Magic,San Francisco,Espresso,Beverage,13,3.0,39.0
2024-01-07,Central Perk,New York,Cold Brew,Beverage,81,4.0,324.0
2024-01-07,Central Perk,New York,Cold Brew,Beverage,55,4.0,220.0
2024-01-07,Central Perk,New York,Bagel,Bakery,76,2.0,152.0
2024-01-07,Central Perk,New York,Muffin,Bakery,60,2.5,150.0
2024-01-07,Central Perk,New York,Latte,Beverage,38,4.5,171.0
2024-01-07,Central Perk,New York,Croissant,Bakery,39,3.0,117.0
2024-01-07,Brew Haven,Los Angeles,Bagel,Bakery,86,2.0,172.0
2024-01-07,Brew Haven,Los Angeles,Espresso,Beverage,80,3.0,240.0
2024-01-07,Brew Haven,Los Angeles,Cold Brew,Beverage,85,4.0,340.0
2024-01-07,Brew Haven,Los Angeles,Latte,Beverage,84,4.5,378.0
2024-01-07,Brew Haven,Los Angeles,Cold Brew,Beverage,68,4.0,272.0
2024-01-07,Brew Haven,Los Angeles,Espresso,Beverage,25,3.0,75.0
2024-01-07,Daily Grind,Chicago,Latte,Beverage,31,4.5,139.5
2024-01-07,Daily Grind,Chicago,Croissant,Bakery,62,3.0,186.0
2024-01-07,Daily Grind,Chicago,Cold Brew,Beverage,20,4.0,80.0
2024-01-07,Daily Grind,Chicago,Espresso,Beverage,82,3.0,246.0
2024-01-07,Daily Grind,Chicago,Bagel,Bakery,16,2.0,32.0
2024-01-07,Daily Grind,Chicago,Croissant,Bakery,22,3.0,66.0
2024-01-07,Daily Grind,Chicago,Espresso,Beverage,63,3.0,189.0
2024-01-07,Daily Grind,Chicago,Croissant,Bakery,42,3.0,126.0
2024-01-07,Daily Grind,Chicago,Bagel,Bakery,14,2.0,28.0
2024-01-07,Mocha Magic,San Francisco,Cold Brew,Beverage,12,4.0,48.0
2024-01-07,Mocha Magic,San Francisco,Espresso,Beverage,80,3.0,240.0
2024-01-07,Mocha Magic,San Francisco,Espresso,Beverage,21,3.0,63.0
2024-01-07,Mocha Magic,San Francisco,Espresso,Beverage,94,3.0,282.0
2024-01-07,Mocha Magic,San Francisco,Espresso,Beverage,45,3.0,135.0
2024-01-07,Mocha Magic,San Francisco,Bagel,Bakery,32,2.0,64.0
2024-01-07,Mocha Magic,San Francisco,Latte,Beverage,31,4.5,139.5
2024-01-07,Mocha Magic,San Francisco,Bagel,Bakery,96,2.0,192.0
2024-01-08,Central Perk,New York,Muffin,Bakery,23,2.5,57.5
2024-01-08,Central Perk,New York,Latte,Beverage,11,4.5,49.5
2024-01-08,Central Perk,New York,Espresso,Beverage,30,3.0,90.0
2024-01-08,Central Perk,New York,Muffin,Bakery,37,2.5,92.5
2024-01-08,Central Perk,New York,Croissant,Bakery,20,3.0,60.0
2024-01-08,Central Perk,New York,Croissant,Bakery,56,3.0,168.0
2024-01-08,Central Perk,New York,Espresso,Beverage,60,3.0,180.0
2024-01-08,Central Perk,New York,Bagel,Bakery,66,2.0,132.0
2024-01-08,Central Perk,New York,Espresso,Beverage,66,3.0,198.0
2024-01-08,Central Perk,New York,Latte,Beverage,78,4.5,351.0
2024-01-08,Brew Haven,Los Angeles,Muffin,Bakery,99,2.5,247.5
2024-01-08,Brew Haven,Los Angeles,Bagel,Bakery,81,2.0,162.0
2024-01-08,Brew Haven,Los Angeles,Cold Brew,Beverage,78,4.0,312.0
2024-01-08,Brew Haven,Los Angeles,Cold Brew,Beverage,37,4.0,148.0
2024-01-08,Brew Haven,Los Angeles,Muffin,Bakery,81,2.5,202.5
2024-01-08,Brew Haven,Los Angeles,Espresso,Beverage,33,3.0,99.0
2024-01-08,Daily Grind,Chicago,Muffin,Bakery,78,2.5,195.0
2024-01-08,Daily Grind,Chicago,Bagel,Bakery,45,2.0,90.0
2024-01-08,Daily Grind,Chicago,Espresso,Beverage,58,3.0,174.0
2024-01-08,Daily Grind,Chicago,Espresso,Beverage,28,3.0,84.0
2024-01-08,Daily Grind,Chicago,Bagel,Bakery,43,2.0,86.0
2024-01-08,Daily Grind,Chicago,Espresso,Beverage,90,3.0,270.0
2024-01-08,Mocha Magic,San Francisco,Bagel,Bakery,75,2.0,150.0
2024-01-08,Mocha Magic,San Francisco,Espresso,Beverage,37,3.0,111.0
2024-01-08,Mocha Magic,San Francisco,Cold Brew,Beverage,98,4.0,392.0
2024-01-08,Mocha Magic,San Francisco,Cold Brew,Beverage,41,4.0,164.0
2024-01-08,Mocha Magic,San Francisco,Cold Brew,Beverage,98,4.0,392.0
2024-01-09,Central Perk,New York,Cold Brew,Beverage,26,4.0,104.0
2024-01-09,Central Perk,New York,Bagel,Bakery,21,2.0,42.0
2024-01-09,Central Perk,New York,Bagel,Bakery,84,2.0,168.0
2024-01-09,Central Perk,New York,Latte,Beverage,31,4.5,139.5
2024-01-09,Central Perk,New York,Croissant,Bakery,81,3.0,243.0
2024-01-09,Central Perk,New York,Muffin,Bakery,100,2.5,250.0
2024-01-09,Central Perk,New York,Muffin,Bakery,81,2.5,202.5
2024-01-09,Central Perk,New York,Latte,Beverage,63,4.5,283.5
2024-01-09,Central Perk,New York,Bagel,Bakery,20,2.0,40.0
2024-01-09,Central Perk,New York,Latte,Beverage,14,4.5,63.0
2024-01-09,Brew Haven,Los Angeles,Bagel,Bakery,20,2.0,40.0
2024-01-09,Brew Haven,Los Angeles,Croissant,Bakery,27,3.0,81.0
2024-01-09,Brew Haven,Los Angeles,Latte,Beverage,67,4.5,301.5
2024-01-09,Brew Haven,Los Angeles,Croissant,Bakery,66,3.0,198.0
2024-01-09,Brew Haven,Los Angeles,Bagel,Bakery,52,2.0,104.0
2024-01-09,Daily Grind,Chicago,Bagel,Bakery,100,2.0,200.0
2024-01-09,Daily Grind,Chicago,Espresso,Beverage,44,3.0,132.0
2024-01-09,Daily Grind,Chicago,Bagel,Bakery,64,2.0,128.0
2024-01-09,Daily Grind,Chicago,Cold Brew,Beverage,93,4.0,372.0
2024-01-09,Daily Grind,Chicago,Latte,Beverage,35,4.5,157.5
2024-01-09,Daily Grind,Chicago,Croissant,Bakery,70,3.0,210.0
2024-01-09,Daily Grind,Chicago,Cold Brew,Beverage,37,4.0,148.0
2024-01-09,Daily Grind,Chicago,Croissant,Bakery,55,3.0,165.0
2024-01-09,Daily Grind,Chicago,Muffin,Bakery,94,2.5,235.0
2024-01-09,Daily Grind,Chicago,Muffin,Bakery,80,2.5,200.0
2024-01-09,Mocha Magic,San Francisco,Bagel,Bakery,82,2.0,164.0
2024-01-09,Mocha Magic,San Francisco,Bagel,Bakery,77,2.0,154.0
2024-01-09,Mocha Magic,San Francisco,Bagel,Bakery,48,2.0,96.0
2024-01-09,Mocha Magic,San Francisco,Cold Brew,Beverage,53,4.0,212.0
2024-01-09,Mocha Magic,San Francisco,Cold Brew,Beverage,39,4.0,156.0
2024-01-09,Mocha Magic,San Francisco,Croissant,Bakery,39,3.0,117.0
2024-01-09,Mocha Magic,San Francisco,Espresso,Beverage,94,3.0,282.0
2024-01-09,Mocha Magic,San Francisco,Muffin,Bakery,29,2.5,72.5
2024-01-10,Central Perk,New York,Latte,Beverage,43,4.5,193.5
2024-01-10,Central Perk,New York,Bagel,Bakery,20,2.0,40.0
2024-01-10,Central Perk,New York,Bagel,Bakery,76,2.0,152.0
2024-01-10,Central Perk,New York,Espresso,Beverage,73,3.0,219.0
2024-01-10,Central Perk,New York,Croissant,Bakery,82,3.0,246.0
2024-01-10,Central Perk,New York,Muffin,Bakery,43,2.5,107.5
2024-01-10,Central Perk,New York,Muffin,Bakery,29,2.5,72.5
2024-01-10,Central Perk,New York,Muffin,Bakery,17,2.5,42.5
2024-01-10,Central Perk,New York,Bagel,Bakery,94,2.0,188.0
2024-01-10,Brew Haven,Los Angeles,Muffin,Bakery,61,2.5,152.5
2024-01-10,Brew Haven,Los Angeles,Cold Brew,Beverage,15,4.0,60.0
2024-01-10,Brew Haven,Los Angeles,Muffin,Bakery,13,2.5,32.5
2024-01-10,Brew Haven,Los Angeles,Espresso,Beverage,23,3.0,69.0
2024-01-10,Brew Haven,Los Angeles,Bagel,Bakery,46,2.0,92.0
2024-01-10,Brew Haven,Los Angeles,Cold Brew,Beverage,41,4.0,164.0
2024-01-10,Brew Haven,Los Angeles,Croissant,Bakery,35,3.0,105.0
2024-01-10,Brew Haven,Los Angeles,Bagel,Bakery,27,2.0,54.0
2024-01-10,Brew Haven,Los Angeles,Croissant,Bakery,94,3.0,282.0
2024-01-10,Daily Grind,Chicago,Espresso,Beverage,35,3.0,105.0
2024-01-10,Daily Grind,Chicago,Cold Brew,Beverage,61,4.0,244.0
2024-01-10,Daily Grind,Chicago,Muffin,Bakery,90,2.5,225.0
2024-01-10,Daily Grind,Chicago,Muffin,Bakery,86,2.5,215.0
2024-01-10,Daily Grind,Chicago,Latte,Beverage,24,4.5,108.0
2024-01-10,Daily Grind,Chicago,Bagel,Bakery,98,2.0,196.0
2024-01-10,Mocha Magic,San Francisco,Espresso,Beverage,21,3.0,63.0
2024-01-10,Mocha Magic,San Francisco,Cold Brew,Beverage,39,4.0,156.0
2024-01-10,Mocha Magic,San Francisco,Cold Brew,Beverage,60,4.0,240.0
2024-01-10,Mocha Magic,San Francisco,Latte,Beverage,91,4.5,409.5
2024-01-10,Mocha Magic,San Francisco,Bagel,Bakery,83,2.0,166.0
2024-01-10,Mocha Magic,San Francisco,Latte,Beverage,67,4.5,301.5
2024-01-10,Mocha Magic,San Francisco,Croissant,Bakery,99,3.0,297.0
2024-01-11,Central Perk,New York,Muffin,Bakery,89,2.5,222.5
2024-01-11,Central Perk,New York,Bagel,Bakery,12,2.0,24.0
2024-01-11,Central Perk,New York,Latte,Beverage,86,4.5,387.0
2024-01-11,Central Perk,New York,Espresso,Beverage,23,3.0,69.0
2024-01-11,Central Perk,New York,Muffin,Bakery,40,2.5,100.0
2024-01-11,Central Perk,New York,Muffin,Bakery,25,2.5,62.5
2024-01-11,Central Perk,New York,Cold Brew,Beverage,81,4.0,324.0
2024-01-11,Central Perk,New York,Croissant,Bakery,86,3.0,258.0
2024-01-11,Central Perk,New York,Espresso,Beverage,87,3.0,261.0
2024-01-11,Central Perk,New York,Cold Brew,Beverage,60,4.0,240.0
2024-01-11,Brew Haven,Los Angeles,Espresso,Beverage,15,3.0,45.0
2024-01-11,Brew Haven,Los Angeles,Bagel,Bakery,54,2.0,108.0
2024-01-11,Brew Haven,Los Angeles,Cold Brew,Beverage,95,4.0,380.0
2024-01-11,Brew Haven,Los Angeles,Espresso,Beverage,62,3.0,186.0
2024-01-11,Brew Haven,Los Angeles,Bagel,Bakery,23,2.0,46.0
2024-01-11,Brew Haven,Los Angeles,Croissant,Bakery,59,3.0,177.0
2024-01-11,Brew Haven,Los Angeles,Muffin,Bakery,37,2.5,92.5
2024-01-11,Brew Haven,Los Angeles,Latte,Beverage,83,4.5,373.5
2024-01-11,Brew Haven,Los Angeles,Latte,Beverage,32,4.5,144.0
2024-01-11,Daily Grind,Chicago,Latte,Beverage,15,4.5,67.5
2024-01-11,Daily Grind,Chicago,Espresso,Beverage,31,3.0,93.0
2024-01-11,Daily Grind,Chicago,Croissant,Bakery,35,3.0,105.0
2024-01-11,Daily Grind,Chicago,Croissant,Bakery,67,3.0,201.0
2024-01-11,Daily Grind,Chicago,Latte,Beverage,53,4.5,238.5
2024-01-11,Daily Grind,Chicago,Latte,Beverage,98,4.5,441.0
2024-01-11,Daily Grind,Chicago,Muffin,Bakery,41,2.5,102.5
2024-01-11,Daily Grind,Chicago,Croissant,Bakery,86,3.0,258.0
2024-01-11,Mocha Magic,San Francisco,Latte,Beverage,88,4.5,396.0
2024-01-11,Mocha Magic,San Francisco,Muffin,Bakery,21,2.5,52.5
2024-01-11,Mocha Magic,San Francisco,Bagel,Bakery,86,2.0,172.0
2024-01-11,Mocha Magic,San Francisco,Latte,Beverage,43,4.5,193.5
2024-01-11,Mocha Magic,San Francisco,Cold Brew,Beverage,81,4.0,324.0
2024-01-11,Mocha Magic,San Francisco,Latte,Beverage,81,4.5,364.5
2024-01-11,Mocha Magic,San Francisco,Cold Brew,Beverage,74,4.0,296.0
2024-01-11,Mocha Magic,San Francisco,Latte,Beverage,28,4.5,126.0
2024-01-11,Mocha Magic,San Francisco,Latte,Beverage,73,4.5,328.5
2024-01-12,Central Perk,New York,Muffin,Bakery,50,2.5,125.0
2024-01-12,Central Perk,New York,Bagel,Bakery,98,2.0,196.0
2024-01-12,Central Perk,New York,Latte,Beverage,45,4.5,202.5
2024-01-12,Central Perk,New York,Croissant,Bakery,88,3.0,264.0
2024-01-12,Central Perk,New York,Latte,Beverage,61,4.5,274.5
2024-01-12,Central Perk,New York,Muffin,Bakery,11,2.5,27.5
2024-01-12,Central Perk,New York,Croissant,Bakery,62,3.0,186.0
2024-01-12,Central Perk,New York,Latte,Beverage,99,4.5,445.5
2024-01-12,Central Perk,New York,Muffin,Bakery,61,2.5,152.5
2024-01-12,Central Perk,New York,Espresso,Beverage,26,3.0,78.0
2024-01-12,Brew Haven,Los Angeles,Latte,Beverage,12,4.5,54.0
